t p i e
130.656693 1 290 4
131.292740 1 291 4
131.672043 1 292 4
131.762589 1 293 3
131.967285 1 294 3
132.312866 1 295 3
132.375214 1 296 3
132.503815 1 297 3
132.629807 1 298 3
132.809296 1 299 2
133.246918 1 300 2
133.455627 1 301 2
133.787247 1 302 3
133.929565 1 303 2
134.102753 1 304 2
134.390182 1 305 2
135.836655 1 306 2
139.349365 1 307 3
141.101578 1 308 4
141.821716 1 309 4
141.872101 1 310 3
141.915451 1 311 2
142.037796 1 312 2
142.176666 1 313 2
142.367325 1 314 2
142.559311 1 315 2
145.121002 1 316 2
146.566513 1 317 3
147.390656 1 318 3
148.214005 1 319 4
148.601105 1 320 4
148.901779 1 321 4
149.208206 1 322 4
149.487122 1 323 3
149.930298 1 324 3
150.859055 1 325 3
151.497040 1 326 3
152.243942 1 327 4
152.492004 1 328 4
152.674530 1 329 4
153.043732 1 330 3
153.290741 1 331 2
154.907593 1 332 3
155.047470 1 333 3
155.387268 1 334 3
155.743393 1 335 4
155.935181 1 336 3
156.285187 1 337 3
156.533371 1 338 4
156.698975 1 339 2
157.119965 1 340 2
157.861755 1 341 2
159.123444 1 342 2
159.849670 1 343 4
159.915237 1 344 3
159.976852 1 345 2
160.066788 1 346 2
161.201401 1 347 2
162.008179 1 348 2
162.839417 1 349 2
163.686813 1 350 3
164.353485 1 351 4
164.527435 1 352 4
164.791809 1 353 4
165.105438 1 354 4
165.143723 1 355 2
165.319061 1 356 2
165.633728 1 357 2
166.301483 1 358 2
166.883682 1 359 3
167.080521 1 360 3
167.205261 1 361 3
167.348389 1 362 3
167.641983 1 363 3
167.802124 1 364 2
168.356155 1 365 2
168.884674 1 366 2
169.971970 1 367 2
170.639450 1 368 2
170.773178 1 369 2
170.876022 1 370 2
171.055817 1 371 2
171.347763 1 372 2
171.585495 1 373 3
171.677780 1 374 2
171.949478 1 375 2
172.147598 1 376 2
172.545944 1 377 2
172.850067 1 378 3
172.971863 1 379 2
173.172928 1 380 2
173.367477 1 381 2
173.610855 1 382 2
174.195694 1 383 2
174.569138 1 384 2
176.047943 1 385 2
176.992157 1 386 3
177.298981 1 387 3
177.519150 1 388 3
177.748077 1 389 3
178.440384 1 390 3
178.762360 1 391 2
179.676544 1 392 2
180.550461 1 393 3
180.669815 1 394 2
180.859650 1 395 2
181.331665 1 396 2
181.805496 1 397 2
182.311783 1 398 3
182.649078 1 399 2
182.922592 1 400 2
183.899063 1 401 2
184.169235 1 402 2
184.720352 1 403 2
185.296906 1 404 2
185.471634 1 405 2
185.792572 1 406 2
186.361618 1 407 3
186.867493 1 408 2
187.218918 1 409 2
187.477859 1 410 3
187.557556 1 411 2
187.653763 1 412 2
187.834793 1 413 2
187.923706 1 414 2
188.105911 1 415 2
188.180847 1 416 2
188.284760 1 417 3
188.376419 1 418 3
188.472031 1 419 2
188.563431 1 420 2
188.684662 1 421 3
189.323502 1 422 2
189.937332 1 423 2
190.491440 1 424 3
191.340271 1 425 3
191.621521 1 426 3
191.688644 1 427 2
191.785919 1 428 2
191.962906 1 429 2
192.072906 1 430 2
192.155243 1 431 2
192.503494 1 432 2
192.759552 1 433 2
192.895035 1 434 2
193.049286 1 435 2
193.195938 1 436 2
193.539215 1 437 2
193.731949 1 438 2
193.876038 1 439 3
193.995743 1 440 2
194.091522 1 441 2
194.295013 1 442 2
194.403137 1 443 2
194.505234 1 444 2
194.626251 1 445 2
196.906250 1 446 2
198.638062 1 447 2
202.159241 1 448 2
203.258804 1 449 2
203.842361 1 450 2
204.329834 1 451 2
204.513382 1 452 2
204.929031 1 453 3
205.113419 1 454 2
205.509094 1 455 2
205.668518 1 456 2
205.880219 1 457 2
206.276779 1 458 2
206.514633 1 459 2
209.628174 1 460 2
213.356277 1 461 2
215.503754 1 462 3
216.724960 1 463 4
217.069229 1 464 4
217.467102 1 465 4
217.893417 1 466 4
218.978271 1 467 4
219.534180 1 468 4
220.212631 1 469 4
220.230072 1 470 2
220.304916 1 471 3
220.352661 1 472 2
220.549805 1 473 2
220.770218 1 474 2
220.866730 1 475 2
220.969681 1 476 2
223.514511 1 477 2
223.613235 1 478 2
223.876617 1 479 2
224.131622 1 480 2
224.247040 1 481 3
224.754669 1 482 2
227.758179 1 483 2
229.307205 1 484 3
229.798508 1 485 3
230.316605 1 486 3
230.701004 1 487 4
230.866867 1 488 4
231.166428 1 489 4
231.471436 1 490 3
231.998947 1 491 3
232.458481 1 492 3
232.789841 1 493 4
233.000427 1 494 4
233.017044 1 495 2
233.140137 1 496 2
233.249985 1 497 2
233.352005 1 498 2
233.445175 1 499 2
233.537872 1 500 2
233.620148 1 501 2
233.734177 1 502 2
234.242020 1 503 3
234.332672 1 504 2
234.517487 1 505 2
234.862549 1 506 2
235.543747 1 507 2
235.706985 1 508 2
236.017822 1 509 2
236.553665 1 510 2
237.171982 1 511 2
237.829025 1 512 2
238.273010 1 513 4
238.395706 1 514 3
238.625961 1 515 2
240.029236 1 516 2
240.968216 1 517 3
241.849625 1 518 3
243.649628 1 519 4
244.283096 1 520 4
245.173340 1 521 4
245.795227 1 522 4
246.139496 1 523 4
246.429123 1 524 4
247.115173 1 525 4
248.327438 1 526 4
248.875610 1 527 4
249.397156 1 528 4
250.134247 1 529 4
251.212906 1 530 4
251.785217 1 531 4
252.238297 1 532 4
252.906326 1 533 4
253.470566 1 534 4
253.940048 1 535 4
254.605637 1 536 4
256.139984 1 537 4
256.526642 1 538 3
257.214752 1 539 4
257.573425 1 540 4
257.871429 1 541 4
257.949799 1 542 3
258.508026 1 543 4
258.665985 1 544 3
258.881470 1 545 3
259.029388 1 546 2
259.429871 1 547 2
259.961151 1 548 2
260.521881 1 549 3
260.786591 1 550 2
260.996704 1 551 2
261.244965 1 552 2
261.418121 1 553 2
261.630432 1 554 2
261.775574 1 555 3
261.884735 1 556 3
261.983093 1 557 2
262.140656 1 558 2
262.433990 1 559 2
262.625275 1 560 2
262.830078 1 561 2
262.959900 1 562 2
263.248871 1 563 2
263.438782 1 564 2
263.838654 1 565 2
264.052917 1 566 2
264.244659 1 567 2
264.546692 1 568 2
264.885437 1 569 2
265.114380 1 570 2
265.250397 1 571 2
265.436371 1 572 2
265.651367 1 573 2
265.926727 1 574 2
266.213989 1 575 2
266.390991 1 576 2
266.779419 1 577 2
267.070312 1 578 2
267.248901 1 579 2
267.399017 1 580 2
267.676727 1 581 2
268.045776 1 582 3
268.232391 1 583 2
268.451752 1 584 2
268.680878 1 585 2
268.905731 1 586 2
269.110413 1 587 2
269.556366 1 588 3
269.726929 1 589 2
269.908386 1 590 2
270.265472 1 591 2
270.415680 1 592 2
270.531372 1 593 2
270.687988 1 594 2
270.894714 1 595 2
271.328033 1 596 2
271.632172 1 597 3
271.744751 1 598 2
272.013733 1 599 2
272.161896 1 600 2
272.388275 1 601 2
272.570251 1 602 2
273.791138 1 603 2
275.839630 1 604 2
276.727478 1 605 2
277.654816 1 606 2
278.385040 1 607 3
279.071991 1 608 3
279.626160 1 609 2
280.228180 1 610 3
280.677948 1 611 2
281.541809 1 612 2
282.709686 1 613 3
283.202698 1 614 2
285.321350 1 615 4
285.800354 1 616 3
286.485260 1 617 3
287.122375 1 618 4
287.593414 1 619 3
288.550354 1 620 3
289.370087 1 621 4
289.866882 1 622 4
290.359680 1 623 4
290.828339 1 624 4
291.444183 1 625 4
291.974884 1 626 4
292.742157 1 627 4
292.841461 1 628 4
292.934052 1 629 4
293.116364 1 630 3
293.444641 1 631 2
293.818909 1 632 2
294.293243 1 633 2
296.375732 1 634 2
297.814667 1 635 2
300.626495 1 636 2
303.948914 1 637 3
304.754303 1 638 4
305.125122 1 639 4
305.724548 1 640 3
306.283142 1 641 4
306.680542 1 642 3
307.160767 1 643 4
307.904480 1 644 4
308.041687 1 645 4
308.131531 1 646 3
308.262024 1 647 3
308.573792 1 648 2
308.997192 1 649 2
309.288086 1 650 2
309.674988 1 651 2
310.225952 1 652 2
310.568634 1 653 2
310.899750 1 654 2
314.413361 1 655 4
314.586884 1 656 4
314.929749 1 657 3
315.316895 1 658 4
315.481903 1 659 4
315.762390 1 660 4
316.158264 1 661 3
316.843292 1 662 4
317.468689 1 663 4
317.859680 1 664 4
318.957947 1 665 4
319.133087 1 666 4
319.265991 1 667 2
320.828979 1 668 2
322.118164 1 669 3
322.596588 1 670 3
322.815247 1 671 3
323.091949 1 672 2
323.435242 1 673 2
324.474396 1 674 2
325.553528 1 675 2
326.495178 1 676 2
327.231567 1 677 3
329.112701 1 678 3
330.061859 1 679 4
330.360931 1 680 4
330.984924 1 681 4
331.807770 1 682 4
331.855469 1 683 4
332.111725 1 684 4
332.290802 1 685 3
332.379883 1 686 4
332.408813 1 687 3
332.486450 1 688 2
332.579926 1 689 2
332.720551 1 690 2
332.904633 1 691 2
332.984009 1 692 2
333.151794 1 693 2
333.276764 1 694 2
333.359344 1 695 2
333.420502 1 696 2
333.535919 1 697 2
333.673248 1 698 2
334.357452 1 699 2
336.425018 1 700 2
340.966003 1 701 2
343.090057 1 702 3
343.731018 1 703 4
344.269012 1 704 4
344.613373 1 705 4
345.046936 1 706 4
345.062531 1 707 4
345.095581 1 708 3
345.150543 1 709 3
345.212280 1 710 3
345.267914 1 711 3
345.328247 1 712 3
345.374664 1 713 3
345.469208 1 714 2
345.617462 1 715 2
345.750732 1 716 2
345.949921 1 717 2
346.104675 1 718 2
346.226013 1 719 2
346.335938 1 720 2
346.448944 1 721 2
346.550018 1 722 2
346.641510 1 723 2
346.746094 1 724 2
346.875824 1 725 2
346.980499 1 726 2
347.091553 1 727 2
347.188110 1 728 2
347.334839 1 729 2
347.493469 1 730 2
349.670502 1 731 3
351.071930 1 732 3
352.369598 1 733 3
354.253326 1 734 4
354.303528 1 735 4
354.370422 1 736 3
354.445984 1 737 3
354.545410 1 738 3
354.647797 1 739 2
355.000305 1 740 2
355.274353 1 741 2
355.407623 1 742 2
355.628235 1 743 2
355.997894 1 744 2
356.380524 1 745 2
356.702972 1 746 2
357.102051 1 747 2
357.266968 1 748 2
357.435730 1 749 2
357.610596 1 750 2
357.667236 1 751 2
357.787964 1 752 2
357.856628 1 753 2
357.957855 1 754 2
358.527496 1 755 2
358.977264 1 756 2
360.511627 1 757 2
363.036926 1 758 2
364.781342 1 759 3
365.308136 1 760 4
365.872040 1 761 4
366.535706 1 762 4
366.560150 1 763 2
366.655243 1 764 2
366.870911 1 765 3
366.954163 1 766 2
367.081116 1 767 2
367.269440 1 768 2
367.422668 1 769 2
367.531769 1 770 2
367.645966 1 771 2
367.874573 1 772 2
367.985535 1 773 2
368.050232 1 774 2
368.145935 1 775 3
368.245148 1 776 2
368.357086 1 777 2
368.455139 1 778 2
368.672760 1 779 2
368.859711 1 780 2
369.136963 1 781 3
369.304230 1 782 2
369.586426 1 783 2
369.708801 1 784 2
369.824585 1 785 2
370.085052 1 786 2
371.580750 1 787 2
372.544861 1 788 2
373.775116 1 789 2
374.579468 1 790 3
375.129364 1 791 3
376.037445 1 792 3
376.426575 1 793 3
377.003967 1 794 2
377.829498 1 795 2
378.386627 1 796 3
378.738464 1 797 3
379.207458 1 798 3
379.825684 1 799 3
379.939453 1 800 2
380.105896 1 801 2
382.611969 1 802 2
384.307343 1 803 2
385.223053 1 804 2
385.714874 1 805 3
386.064331 1 806 3
386.315186 1 807 3
386.605743 1 808 3
386.726501 1 809 2
387.552521 1 810 3
387.710175 1 811 3
387.983185 1 812 3
388.327545 1 813 3
388.540039 1 814 2
388.738312 1 815 2
388.891937 1 816 2
390.192505 1 817 2
390.978821 1 818 2
391.769623 1 819 2
392.127991 1 820 3
392.437012 1 821 2
393.541656 1 822 2
393.822754 1 823 4
393.971222 1 824 3
394.051270 1 825 2
394.786682 1 826 2
396.165344 1 827 2
398.059967 1 828 2
398.868958 1 829 3
399.418549 1 830 3
399.964905 1 831 4
400.265320 1 832 4
400.535095 1 833 3
400.586609 1 834 3
400.651031 1 835 3
402.028381 1 836 2
405.304657 1 837 2
406.873932 1 838 3
407.809692 1 839 4
407.978973 1 840 4
408.171936 1 841 2
409.278687 1 842 3
409.850403 1 843 4
409.999298 1 844 4
410.108185 1 845 4
410.220917 1 846 3
410.490509 1 847 2
411.038940 1 848 2
413.622864 1 849 2
416.560120 1 850 3
417.481628 1 851 4
418.021698 1 852 4
418.708221 1 853 4
419.288879 1 854 4
420.090607 1 855 4
420.561371 1 856 4
420.935364 1 857 4
421.412689 1 858 4
421.852478 1 859 4
422.292816 1 860 4
422.906677 1 861 4
423.376160 1 862 4
423.405640 1 863 2
423.493713 1 864 2
423.591583 1 865 2
423.704071 1 866 2
423.839783 1 867 3
423.893433 1 868 2
424.008148 1 869 3
424.113403 1 870 2
424.419983 1 871 2
424.478912 1 872 2
425.678528 1 873 2
426.677246 1 874 2
427.816895 1 875 3
428.216217 1 876 3
428.724487 1 877 3
429.105011 1 878 4
429.221985 1 879 3
429.904510 1 880 3
430.541016 1 881 3
430.900970 1 882 3
431.461334 1 883 3
432.139313 1 884 4
432.452850 1 885 4
432.506714 1 886 3
432.547424 1 887 2
432.658447 1 888 2
432.715820 1 889 2
432.810364 1 890 2
432.872284 1 891 2
432.956726 1 892 2
433.165344 1 893 2
433.278961 1 894 2
433.367462 1 895 3
433.409454 1 896 2
433.594269 1 897 3
433.656036 1 898 2
433.845367 1 899 2
433.911163 1 900 2
434.019562 1 901 2
434.149597 1 902 2
434.270844 1 903 2
434.427124 1 904 2
434.587372 1 905 2
436.062317 1 906 2
437.069885 1 907 4
437.360199 1 908 3
437.648651 1 909 4
437.974640 1 910 3
438.090485 1 911 2
438.442200 1 912 2
438.790558 1 913 2
439.092194 1 914 2
439.259705 1 915 2
439.393768 1 916 2
439.507324 1 917 2
441.811157 1 918 2
443.469940 1 919 3
444.478455 1 920 3
445.392822 1 921 4
445.621521 1 922 4
445.946106 1 923 3
446.373596 1 924 3
446.894867 1 925 3
447.383942 1 926 3
447.787689 1 927 4
448.004395 1 928 4
448.472931 1 929 4
448.696320 1 930 4
449.096954 1 931 4
449.701538 1 932 4
450.284882 1 933 4
451.189636 1 934 4
451.551575 1 935 3
452.794830 1 936 4
452.860779 1 937 3
452.925812 1 938 2
453.012238 1 939 2
453.139435 1 940 3
453.199188 1 941 2
453.360535 1 942 2
453.657745 1 943 3
454.051636 1 944 2
454.494873 1 945 2
455.445770 1 946 2
458.918610 1 947 3
459.799713 1 948 3
460.066742 1 949 4
460.214050 1 950 4
460.790009 1 951 3
461.260284 1 952 3
461.505249 1 953 4
462.095245 1 954 4
462.581055 1 955 4
462.793976 1 956 4
463.070282 1 957 4
463.283020 1 958 4
463.997925 1 959 3
465.309845 1 960 3
465.663513 1 961 3
465.973236 1 962 3
466.143127 1 963 4
466.223999 1 964 2
466.673706 1 965 2
466.980927 1 966 2
467.404114 1 967 2
467.848846 1 968 2
